Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Company Age
Funsize,Funsize,Cold,,37,design,david@davidjacobbusinessbrokers.com,http://www.funsize.co,http://www.linkedin.com/company/funsize,https://www.facebook.com/funsizeco,http://www.twitter.com/funsize,916 Springdale Road,Austin,Texas,United States,78702,"916 Springdale Road, Austin, Texas, United States, 78702","business design, service design, experience research, experience strategy, interaction design, hyperunique user interface design, digital product design, design language systems, design technology, brand experience design, automotive, artificial intelligence, business services, connected devices & wearables, cloud, networking, computing, cybersecurity, entertainment & gaming, fintech, healthtech, information technology, point of sale, restaurant technology, mobile, enterprise software, startups, user interface design, software, design services, experience design, innovative concepts, digital products, product design, brand experience, design strategy, stakeholder engagement, iterative improvements, user testing, staff augmentation, ux/ui design, visual design, design systems, research methodologies, interface development, creative coding, concept prototyping, brand positioning, empowering tech use, educational tools, design transformation, global talent, cost-efficient staffing, interactive design, operational consulting, investment in startups, community engagement, diversity in design, visual identity, animation, motion graphics, environmental design, experiential design, design systems integration, cloud-based applications, legacy design solutions, product strategy, market research, agile development, remote collaboration, team dynamics, design sprints, wireframing, design language system, prototyping tools, digital transformation, creative partnerships, information technology & services, b2b, finance technology, financial services, pos, payments, enterprises, computer software, internet",'+1 512-655-3860,Funsize is a digital experience design agency that envisions new ideas and evolves products and services.,"Gmail, Google Apps, Amazon AWS, Media Temple SSL, Webflow, BambooHR, Linkedin Marketing Solutions, Braintree, Google Play, Google Analytics, Apache, Google Plus, Mobile Friendly, iTunes, Google Tag Manager, Android, Flutter, Remote",,,,,1400000,,684383f76c2a670001e85495,,"Funsize is a digital service and product design agency located in Austin, Texas. Founded in 2013, the company specializes in innovative concepts and brand evolution across various industries. Funsize promotes a collaborative work environment that values flexibility, balance, and diversity among its team members.

The agency offers a comprehensive range of services, including digital product design, brand experience, design technology, and design strategy. Their expertise encompasses interaction design, visual design, brand positioning, web development, and more. Funsize has also been involved in notable projects, such as the redesign of the BigCommerce Dev Center and a partnership with #HalfTheStory, focusing on digital wellness for young girls. The company works with both early-stage startups and Fortune 500 companies, contributing to sectors like hardware and wearables. Funsize is recognized for its commitment to a dynamic workplace, offering programs like a paid apprenticeship and team-building activities.",2013,,,,,,
"Lavante, Inc.",Lavante,Cold,,11,information technology & services,david@davidjacobbusinessbrokers.com,,http://www.linkedin.com/company/lavante-inc-,https://facebook.com/lavanteinc,http://twitter.com/lavanteinc,5285 Hellyer Avenue,San Jose,California,United States,95138,"5285 Hellyer Avenue, San Jose, California, United States, 95138","profit recovery, recovery auditing, supplier information management, tin management, vendor master flie cleansing, vendor management, supplier onboarding, supplier portal, vendor portal, supplier data quality, enterprise software, saas, finance, supply chain management, software, information technology, software development, enterprises, computer software, information technology & services, b2b, financial services, logistics & supply chain",'+1 408-754-1410,,"Outlook, Marketo, Microsoft Office 365, Citrix NetScaler, Bootstrap Framework, AngularJS, Mobile Friendly",,,,,5000000,,684383f76c2a670001e854bc,7371,"Lavante is the leading provider of on-demand supplier management solutions, connecting companies and their suppliers.  Since 2001, Lavante has developed innovative solutions for driving ongoing supplier communication, compliance and insight.  Lavante delivers Supplier Information Management (SIM) and Recovery Audit solutions that help companies drive dollars to the bottom line, ensure quality of supplier data and improve supplier relationships.  Lavante solutions are built on Lavante Connect, a next generation communication platform, which drives the highest supplier compliance in the industry.  

Lavante solutions include:
Lavante SIM – On-Demand Supplier Information Management, enabling companies to proactively communicate with suppliers and gain real-time visibility into suppliers and relationships  

Lavante TIN Management – On-Demand TIN Collection and Management, enabling companies to drive corporate compliance with tax legislation and changes 

Lavante Recovery – On-Demand Recovery Auditing, enabling companies to maximize vendor statement audit recoveries and supplier insights across 95% of spend

Founded as AuditSolutions in 2001, the company is headquartered in San Jose, California.",2001,PRGX Global Inc. (prgx.com),,,,,
Comnez Inc,Comnez,Cold,,19,information technology & services,david@davidjacobbusinessbrokers.com,http://www.comnez.com,http://www.linkedin.com/company/comnez-inc,https://facebook.com/Comnez-Inc/141171852560856,https://twitter.com/comnez,1231 Park Place Northeast,Cedar Rapids,Iowa,United States,52402,"1231 Park Place Northeast, Cedar Rapids, Iowa, United States, 52402","java, php, microsoft net, linux, open source, mysql, oracle, joomla, vtiger, iphone, android, seo, web design, drupal, wordpress, it services & it consulting, startup development, software development, e-commerce solutions, online dating platform, traffic generation, software estimation, project management, cloud applications, web development, compliance certification, vendor management, performance insights, data exchange platform, ui/ux design, aws integration, online shopping, virtual try-on technology, sales & marketing reports, custom software solutions, agile methodologies, software engineering, technical project management, business process automation, function point analysis, rapid application development, client investment protection, quality assurance, meeting minutes tool, vendor certification, project planning, automation tools, scalable solutions, user engagement strategies, conversion optimization, website design, free development estimates, vendor directory, marketing tools, software project estimation, cost-effective solutions, product launch strategies, data access components, reusable software components, digital marketplace, customer satisfaction tracking, business intelligence, real-time analytics, traffic exchange platform, project compliance standards, computer software, information technology & services, ios, mobile, internet, mobile devices, search marketing, marketing, marketing & advertising, consumer internet, consumers, productivity, e-commerce, analytics, professional services",'+1 319-892-0211,"Signup, Engagement, Conversion are three essential steps that any technology startup must execute properly to be successful. We design, build & market flawless technology products using our own technology and marketing platforms that always ensure success.","Gmail, Google Apps, Amazon AWS, Bootstrap Framework v3.2.0, PHP 5.3, Apache, Bootstrap Framework, Google Font API, WordPress.org, Mobile Friendly, Android, SharePoint, Python, IoT, Mitel",,,,,9362000,1,684383f76c2a670001e85494,"7373, 7372","Comnez Inc. is a total service provider in the field of software development. The company specializes in Web Application development using various technologies such as PHP, Java & ASP.Net. Comnez is a multinational organization with offices in United States and India. Onsite-offshore development model is the foundation of our company.

The different areas of services provided by Comnez are listed below:

- Software Development Outsourcing
- Website Design & Development
- CRM Implementation
- Online Marketing Services
- Data Center Services

The company is also heavily involved into product development. A few most recent products released by Comnez are listed below:

- Minutes of Meeting
- Comnez Bugtracker
- Timesheet Management

Comnez is a very process oriented organization and maintains consistency in the quality of deliverables by following the best engineering practices in the industry. The key differentiator for the company is the level of knowledge possessed by the team. The company uses several innovative software solutions to manage its workflow and ensure efficient process management.

Eighty percent of the professionals working at Comnez possess over 5 years of industry experience in their respective technologies. The work culture at Comnez is very open and the employees enjoy the professional environment and take ownership of their work along with personal responsibilities to deliver good quality products in a timely manner. We believe that our people are our strength and we apply strong team building efforts and follow the best human resource management practices to ensure that our employees demonstrate the vision and mission of our company in their day to day work.

Comnez'​ goal is to please its clients by delivering cost effective solutions without compromising its quality. Our ability to produce high quality deliverables very cost effectively has added tremendous value to our clients.",2007,,,,,,
Data Impact,Data Impact,Cold,,15,information technology & services,david@davidjacobbusinessbrokers.com,http://www.dataimpact.com,http://www.linkedin.com/company/data-impact,,,5432 Bolsa Ave,Huntington Beach,California,United States,92649,"5432 Bolsa Ave, Huntington Beach, California, United States, 92649","electronic payment, eipp, econsent, electronic delivery, ebpp, electronic document presentment, software, information technology, information technology & services",,,"Amazon AWS, Mobile Friendly, Google AdSense, Remote, AI",,,,,10000000,,684383f76c2a670001e854a2,,"Data Impact is a leading provider of Electronic Invoicing Presentment and Payment (EIPP), Electronic Bill Presentment and Payment (EBPP) and Electronic Document Management in the U.S.  DI enables businesses to send invoices and receive payments electronically
DI also enables channel partners to offer EIPP and EBPP services and document management solutions to their customers.
 
Data Impact has two decades of experience helping major corporations manage their documents. We have a track record as a technology innovator that offers business-centric which create value and build competitive advantages for our clients. 

With EIPP Plus, we've fully integrated our document management knowledge with state-of-the-art Web technology for payment processing, enabling businesses to get paid faster, at far less cost, and with better control over the entire process. The entire presentment-to-payment cycle is now an electronic, hands-off, accelerated process. 

We offer a Software as a Service (SaaS) process that fundamentally alters the transaction cycle. Companies that understand how this can give them a competitive advantage are acting now to put Data Impact technology in place so they can gain, and maintain, a competitive edge. 

Data Impact is headquartered in Huntington Beach, California with representatives nationwide.",1991,,,,,,
BrandVerity,BrandVerity,Cold,,19,information technology & services,david@davidjacobbusinessbrokers.com,http://www.brandverity.com,http://www.linkedin.com/company/brandverity,https://www.facebook.com/BrandVerity,https://twitter.com/brandverity,900 Rutter Ave,Kingston,Pennsylvania,United States,18704,"900 Rutter Ave, Kingston, Pennsylvania, United States, 18704","paid search monitoring, compliance monitoring, marketing compliance, ppc monitoring, affiliate monitoring, enterprise software, big data, brand marketing, data visualization, software, sales and marketing, information technology, technology, information & internet, brand compliance, trademark infringement, web compliance, digital marketing, fraud detection, search engine monitoring, cpc management, ctr optimization, trademark protection, affiliate management, maximize roi, keyword tracking, ad quality assurance, online brand reputation, compliance risk mitigation, partner accountability, actionable reporting, takedown requests, search engine compliance, brand safety, customer journey protection, affiliate fraud prevention, automation solutions, regulatory compliance, ad exposure analysis, market intelligence, branded keywords defense, advertising insights, performance reporting, email templates for compliance, dedicated support team, managed services, freemium solution, customized monitoring, user-friendly interface, granular reporting, rapid remediation, marketing spend optimization, audience targeting, market trends analysis, cross-platform monitoring, content compliance, operational efficiency, brand trust building, enterprises, computer software, information technology & services, b2b, marketing & advertising, sales & marketing, computer & network security",'+1 888-500-3485,"BrandVerity provides brand protection monitoring tools for paid search and web compliance for digital marketers in retail, travel, pharma and more.","Route 53, Amazon SES, Mailchimp Mandrill, Gmail, Google Apps, MailChimp SPF, Microsoft Office 365, Amazon AWS, Hubspot, Atlassian Cloud, React, Mobile Friendly, Facebook Login (Connect), Google Dynamic Remarketing, Linkedin Login, The Trade Desk, Google Analytics Ecommerce Tracking, Facebook Widget, DoubleClick Conversion, Twitter Advertising, Linkedin Widget, Bing Ads, Typekit, Google Analytics, Django, DoubleClick, Linkedin Marketing Solutions, NetSuite, Facebook Custom Audiences, Google Tag Manager, Partnerize",,,,,12000000,,684383f76c2a670001e85496,7372,"BrandVerity, founded in 2008 and based in Forty Fort, Pennsylvania, specializes in brand protection and marketing compliance solutions. The company helps brands monitor their online presence, ensuring adherence to search engine rules and partnership agreements. With a focus on customer satisfaction and teamwork, BrandVerity aims to simplify the process of identifying and addressing brand issues.

The company offers advanced tools for monitoring paid search and affiliate marketing campaigns, protecting brands from trademark infringement and other violations. Its solutions include features for location targeting, enhancing brand protection across various geographic areas. BrandVerity serves hundreds of brands, agencies, and networks globally, with its tools utilized by marketing, compliance, and legal teams. In 2020, BrandVerity was acquired by Partnerize, allowing Partnerize clients to access its monitoring tools while continuing to offer standalone solutions.",2008,Partnerize (partnerize.com),,,,,
NOCHALLENGE TECHNOLOGY,NOCHALLENGE TECHNOLOGY,Cold,,13,information technology & services,david@davidjacobbusinessbrokers.com,http://www.nochallenge.net,http://www.linkedin.com/company/nochallenge-technology,https://www.facebook.com/nochallengetech/,https://twitter.com/nochallengetech,7800 Metro Pkwy,Bloomington,Minnesota,United States,55425-1517,"7800 Metro Pkwy, Bloomington, Minnesota, United States, 55425-1517","business analysis, custom web application development, mean stack, yii framework, project management, software development, laravel, amazon aws, software, finance technology, manufacturing, information technology, finance, it services & it consulting, productivity, information technology & services, financial services, mechanical or industrial engineering, professional services",'+1 952-855-9393,,"Gmail, Google Apps, , Python, Laravel, Basis, Data Analytics, React Native",,,,,1353000,2,684383f76c2a670001e854ac,,"We're a team of custom web and desktop application development experts. We help small to midsize companies grow market share through simple and cost-effective technology solutions. Our top priority is you—our partners. Partly because our success depends on yours. But mostly because we take pride in producing great work. 

Please visit www.nochallenge.net to learn about us and our services. We are looking forward to hear from you. Please call us at (952) 855-9393 today for a free quote.",2011,,,,,,
Udundi,Udundi,Cold,,13,information technology & services,david@davidjacobbusinessbrokers.com,http://www.udundi.com,http://www.linkedin.com/company/udundi,https://facebook.com/udundi,https://twitter.com/udundi,1000 East 5th Street,Austin,Texas,United States,78702,"1000 East 5th Street, Austin, Texas, United States, 78702","mobile app development, web app development, ecommerce software, ecommerce solutions, software, ecommerce, information technology, software development, information technology & services, e-commerce, consumer internet, consumers, internet",'+1 817-733-7457,,"Amazon CloudFront, Route 53, Gmail, Google Apps, Amazon AWS, Intercom, DoubleClick Conversion, Google Dynamic Remarketing, Typekit, DoubleClick, Twitter Advertising, Google Tag Manager, Mobile Friendly, React Native, SAP, Render, , Remote, AI",,,,,2400000,,684383f86c2a670001e8553b,,"Udundi is a custom web design and development agency based in Austin, Texas, founded in 2012 by Nathan Parker. The company specializes in creating enriched ecommerce experiences, focusing on intuitive user interactions and brand-aligned digital solutions. As a Shopify and Google Partner, Udundi serves a diverse range of clients, from startups to established brands.

Their services include custom web design and development, ecommerce solutions, UX/UI design, and ongoing support. Udundi develops tailored digital platforms, Shopify-based stores, and mobile-responsive interfaces, ensuring a seamless user experience. The company emphasizes transparent communication and collaboration with clients, fostering long-term relationships that align with evolving business goals. Udundi has worked with notable brands such as Complex Magazine, Bourbon and Boots, and College Depot, showcasing their commitment to enhancing online presences through technically robust and visually appealing platforms.",2012,,,,,,
Sorenson Media,Sorenson Media,Cold,,27,information technology & services,david@davidjacobbusinessbrokers.com,http://www.sorensonmedia.com,http://www.linkedin.com/company/sorenson-media,http://www.facebook.com/pages/Sorenson-Media/41414979956,http://twitter.com/sorensonmedia,25 E Scenic Pointe Dr,Draper,Utah,United States,84020-6126,"25 E Scenic Pointe Dr, Draper, Utah, United States, 84020-6126","targeted advertising, ott vod, video transcoding, addressable tv, video delivery, ott amp vod, tv ad enhancement, tv analytics, video encoding, mobile video, interactive tv, tv analytics interactive tv tv ad enhancement ott vod video encoding video transcoding mobile video v, software, information technology, it services & it consulting, information technology & services",,,"CSC Corporate Domains, Remote",,,,,24000000,,684383f86c2a670001e8553f,"4832, 4833","Sorenson Media, founded in 1995 as Sorenson Vision, Inc., was a key player in digital video technology, particularly known for its video encoding and streaming solutions. The company was headquartered in Salt Lake City, Utah, and contributed significantly to the tech landscape in the region. Sorenson Media specialized in optimizing video delivery for broadcasters, advertisers, and content creators.

The company developed several notable products, including Sorenson Squeeze, a user-friendly video encoding tool, and the Sorenson Spark codec, which was integrated into Adobe Flash to enhance web-based multimedia. Sorenson Media also offered addressable TV solutions that allowed for targeted advertising and real-time viewer engagement measurement. In 2021, Sorenson Media became part of Nielsen, further enhancing its capabilities in addressable ad delivery and measurement.",1995,Nielsen (nielsen.com),,,,,
GuildQuality (An EverCommerce Solution),GuildQuality,Cold,,42,information technology & services,david@davidjacobbusinessbrokers.com,http://www.guildquality.com,http://www.linkedin.com/company/guildquality,https://www.facebook.com/GuildQuality,http://twitter.com/GuildQuality,225 Ottley Drive Northeast,Atlanta,Georgia,United States,30324,"225 Ottley Drive Northeast, Atlanta, Georgia, United States, 30324","customer satisfaction, marketing, management, construction, remodeling, homebuilding, real estate, saas, home renovation, enterprise software, software, information technology, technology, information & internet, customer feedback, satisfaction surveying, performance reporting, lead generation, home builders, remodelers, home service providers, real-time results, analytics, survey tools, marketing solutions, verified reviews, peer benchmarking, team performance reporting, custom survey questions, data integrations, google reviews, search-optimized profiles, customer trust, feedback analysis, service excellence, referrals, marketing tools, customer insights, performance monitoring, member directory, client engagement, lead management, industry insights, reputation management, customer experience, business growth, service standards, incident resolution, response rate, market trends, client satisfaction, quality assurance, business intelligence, contractor directories, customer retention, service optimization, third-party surveying, home improvement, data reporting, computer software, information technology & services, enterprises, b2b, marketing & advertising, sales, contractors, decks & railing, home services, roofing",'+1 888-355-9223,"Use customer satisfaction surveying to deliver exceptional customer service, gather feedback, track performance, and share reviews and testimonials.","Route 53, Mailchimp Mandrill, Outlook, Pardot, Microsoft Office 365, Amazon AWS, Mixpanel, VueJS, WP Engine, Appcues, Angular JS v1, Salesforce, Figma, Mobile Friendly, FullStory, Google Maps, Google Font API, Vimeo, Google Places, Linkedin Marketing Solutions, Facebook Login (Connect), OpenSSL, Apache, Cedexis Radar, Bootstrap Framework, reCAPTCHA, Yelp, WordPress.org, AngularJS, Google Tag Manager, YouTube, Olark, Google Analytics, Guild Quality, HeapAnalytics, Wistia, Adobe Media Optimizer, Facebook Widget, Facebook Custom Audiences, Reviews",,,,,15000000,1,684383f86c2a670001e8553a,7380,"GuildQuality is a customer satisfaction measurement company that focuses on the home services industry, serving remodelers, home builders, and home improvement contractors. As part of EverCommerce, it provides marketing, business management, and customer retention solutions to a wide range of service businesses.

The company offers a suite of services designed to enhance customer satisfaction. GuildQuality collects customer feedback through tailored surveys, providing real-time access to comments and ratings. This allows businesses to address issues quickly. Their comprehensive reporting tools help track performance improvements and benchmark against industry standards. Additionally, GuildQuality provides marketing tools that enable businesses to leverage customer feedback to promote their commitment to quality and enhance their brand image.",2002,,,,,,
Managing Editor Inc.,Managing Editor,Cold,,20,information technology & services,david@davidjacobbusinessbrokers.com,http://www.maned.com,http://www.linkedin.com/company/managing-editor-inc-,https://www.facebook.com/managingeditorinc,https://twitter.com/maned,610 York Road,Jenkintown,Pennsylvania,United States,19046,"610 York Road, Jenkintown, Pennsylvania, United States, 19046","creative services, software, digital publishing, workflow solutions, systems integration, cloud computing, digital asset management, twixl, multichannel content management, mobile app development, custom development, adobe aem, experience management, truedit, software development, content production, ad layout software, publish everywhere, content creation tools, professional publishing solutions, automation, efficiency, error reduction, workflow management, customization, advertisement management, graphic design, integration, collaboration tools, template management, media asset management, cloud publishing, cross-platform publishing, user-friendly interface, flexible layouts, real-time editing, multi-user access, tracking & analytics, audience engagement, content strategy, time-saving features, advanced publishing, creative tools, enhanced productivity, version control, secure content, mobile accessibility, data-driven insights, localization features, support services, customer service, digital asset organization, photo editing tools, video integration, content scheduling, seamless updates, market adaptability, branding solutions, subscription management, content distribution, information technology & services, media, enterprise software, enterprises, computer software, b2b",'+1 215-886-5662,,"Route 53, Amazon SES, Outlook, MailChimp SPF, Amazon AWS, Oracle Cloud, Zoho CRM, Zoho SalesIQ, Google Tag Manager, Google Analytics, WordPress.org, Bootstrap Framework, Google Font API, Nginx, MailChimp, Mobile Friendly, Remote",,,,,4466000,,684383f86c2a670001e8554d,7372,,1990,,,,,,
